gene_id	eligible_untrimmed	eligible_trimmed	gap_untrimmed	gap_trimmed	length_untrimmed	length_trimmed	pis_untrimmed	pis_trimmed	occupancy_untrimmed	occupancy_trimmed	became_eligible	became_excluded	retained_length_fraction	pis_retained_fraction
EOG09260AZA	True	True	0.0168891855807743	0.0008902890015066	1070	1043	226	217	1.0	1.0	False	False	0.974766355140187	0.9601769911504425
EOG09260AZK	True	True	0.4824567199682833	0.0045885591924135	2162	934	298	240	1.0	1.0	False	False	0.4320074005550416	0.8053691275167785
EOG09260AZM	True	True	0.4359490067454669	0.0124708624708624	2486	1320	545	536	0.9285714285714286	0.9285714285714286	False	False	0.5309734513274337	0.9834862385321101
EOG09260B3H	True	True	0.1326462765957446	0.0111011437542049	1504	1274	587	561	1.0	1.0	False	False	0.8470744680851063	0.9557069846678024
EOG09260B3X	True	True	0.0436327739387956	0.0042887029288702	1013	956	424	419	0.7142857142857143	0.7142857142857143	False	False	0.9437314906219151	0.9882075471698113
EOG09260B65	True	True	0.0945962732919254	0.0048496605237633	1150	1031	527	521	1.0	1.0	False	False	0.8965217391304348	0.9886148007590133
EOG09260BFE	True	True	0.4622033139274518	0.0344492020241339	1595	734	479	444	1.0	1.0	False	False	0.46018808777429465	0.9269311064718163
EOG09260BL6	True	True	0.42652872957301	0.0091609134360063	2168	1076	617	562	1.0	1.0	False	False	0.496309963099631	0.9108589951377634
EOG09260BRA	True	True	0.2368258542610127	0.0162305162305162	1388	999	367	349	1.0	1.0	False	False	0.7197406340057637	0.9509536784741145
EOG09260BSW	True	True	0.0525536639526276	0.0063623245441427	1158	1089	368	357	1.0	1.0	False	False	0.9404145077720207	0.970108695652174
EOG09260BYL	True	True	0.154811466634947	0.0361771827375017	1201	1003	524	499	1.0	1.0	False	False	0.8351373855120733	0.9522900763358778
EOG09260BZ0	True	True	0.3351823708206687	0.0273956496178718	1880	1215	448	431	1.0	1.0	False	False	0.6462765957446809	0.9620535714285714
EOG09260C2V	True	True	0.1125866050808314	0.0092800899887514	866	762	386	378	1.0	1.0	False	False	0.8799076212471132	0.9792746113989638
EOG09260C5W	True	True	0.1982073910645339	0.016156462585034	2590	2016	1030	1004	1.0	1.0	False	False	0.7783783783783784	0.974757281553398
EOG09260CKC	True	True	0.079467680608365	0.0244498777506112	1315	1227	419	416	1.0	1.0	False	False	0.9330798479087452	0.9928400954653938
EOG09260CMZ	True	True	0.4764388901628067	0.0400696864111498	2492	738	698	389	1.0	1.0	False	False	0.29614767255216695	0.5573065902578797
EOG09260DBG	True	True	0.3444284869477063	0.0054224126389074	1691	1067	353	352	1.0	1.0	False	False	0.6309875813128326	0.9971671388101983
EOG09260DFH	True	True	0.089883507050889	0.0052531041069723	1165	1047	609	598	1.0	1.0	False	False	0.8987124463519314	0.9819376026272578
EOG09260DFJ	True	True	0.0988232648778294	0.0204020013802622	1906	1656	1109	1022	1.0	1.0	False	False	0.8688352570828961	0.9215509467989179
EOG09260DP1	True	True	0.181414237935977	0.0152635344621989	1495	1198	516	490	1.0	1.0	False	False	0.8013377926421404	0.9496124031007752
EOG09260DUR	True	True	0.1267873540600813	0.0117406453567641	1089	943	298	297	1.0	1.0	False	False	0.8659320477502296	0.9966442953020134
EOG09260DUW	True	True	0.4260853432282003	0.0062595632215885	1925	1027	624	614	1.0	1.0	False	False	0.5335064935064935	0.9839743589743589
EOG09260DXP	True	True	0.1650246305418719	0.0165604299462567	1392	1143	318	297	1.0	1.0	False	False	0.8211206896551724	0.9339622641509434
EOG09260E2O	True	True	0.0538285914998243	0.003076062639821	949	894	254	253	0.8571428571428571	0.8571428571428571	False	False	0.9420442571127503	0.9960629921259843
EOG09260E8K	True	True	0.053239041964107	0.0005745888098829	1153	1071	197	186	0.9285714285714286	0.9285714285714286	False	False	0.9288811795316565	0.9441624365482234
EOG09260EAZ	True	True	0.1156962785114045	0.0066418084362619	1428	1226	556	522	1.0	1.0	False	False	0.8585434173669467	0.9388489208633094
EOG09260EE7	True	True	0.2288815478999528	0.006835860768445	1304	979	351	348	0.9285714285714286	0.9285714285714286	False	False	0.7507668711656442	0.9914529914529915
EOG09260EOI	True	True	0.281689708141321	0.0126840107397463	2325	1543	810	763	1.0	1.0	False	False	0.6636559139784947	0.9419753086419753
EOG09260EPQ	True	True	0.3403219587430113	0.0015612802498048	1482	915	219	214	1.0	1.0	False	False	0.6174089068825911	0.9771689497716894
EOG09260EPS	True	True	0.2930616573246478	0.0578205268335337	1886	1307	915	873	1.0	1.0	False	False	0.693001060445387	0.9540983606557377
EOG09260EQD	True	True	0.1502316346790205	0.0087957497048406	1511	1210	617	571	1.0	1.0	False	False	0.800794176042356	0.9254457050243112
EOG09260ERO	True	True	0.1121848739495798	0.0002088554720133	1190	1026	266	264	1.0	1.0	False	False	0.8621848739495799	0.9924812030075187
EOG09260ETR	True	True	0.0793988805062058	0.0024032042723631	1174	1070	269	266	1.0	1.0	False	False	0.9114139693356048	0.9888475836431226
EOG09260EZT	True	True	0.3036739903364026	0.0036176108374384	1567	928	422	362	1.0	1.0	False	False	0.5922144224633057	0.8578199052132701
EOG09260FFP	True	True	0.4870957068409298	0.0323660714285714	1727	704	431	383	1.0	1.0	False	False	0.40764331210191085	0.888631090487239
EOG09260FKU	True	True	0.2189303307529908	0.0917524034407151	1015	847	437	426	1.0	1.0	False	False	0.8344827586206897	0.9748283752860412
EOG09260FL2	True	True	0.0145235264141328	0.0018978605935127	841	828	257	255	1.0	1.0	False	False	0.9845422116527943	0.9922178988326849
EOG09260FMW	True	True	0.1946504237288135	0.0353081700907787	1888	1495	719	670	1.0	1.0	False	False	0.791843220338983	0.9318497913769124
EOG09260FPA	True	True	0.0702179176755447	0.0108011289622231	1416	1316	617	612	1.0	1.0	False	False	0.9293785310734464	0.9918962722852512
EOG09260FX0	True	True	0.1418005610813568	0.0134011090573012	1307	1082	625	594	0.8571428571428571	0.8571428571428571	False	False	0.827850038255547	0.9504
EOG09260FZZ	True	True	0.5215016067776804	0.0298363095238095	2445	960	317	286	1.0	1.0	False	False	0.39263803680981596	0.9022082018927445
EOG09260GF5	True	True	0.0546121506883191	0.0082061237095208	1733	1619	638	628	1.0	1.0	False	False	0.9342181188690133	0.9843260188087775
EOG09260GIX	True	True	0.0949694946471739	0.0109637605042016	1241	1088	579	547	1.0	1.0	False	False	0.8767123287671232	0.9447322970639033
EOG09260GKG	True	True	0.0054887998813232	0.0008956560680698	963	957	145	144	1.0	1.0	False	False	0.9937694704049844	0.993103448275862
EOG09260GOF	True	True	0.468994028479559	0.0078702599570713	1244	599	220	218	1.0	1.0	False	False	0.4815112540192926	0.990909090909091
EOG09260GR8	True	True	0.2960048426150121	0.0115582903708631	1298	859	419	396	1.0	1.0	False	False	0.6617873651771957	0.9451073985680191
EOG09260H6E	True	True	0.2381793706882046	0.022140631953716	849	642	233	233	1.0	1.0	False	False	0.7561837455830389	1.0
EOG09260H81	True	True	0.2269296093602566	0.0487643158529234	1514	1185	546	547	1.0	1.0	False	False	0.7826948480845443	1.0018315018315018
EOG09260HMA	True	True	0.4416933531203624	0.012807881773399	1829	870	261	260	1.0	1.0	False	False	0.4756697648988518	0.9961685823754789
EOG09260HPO	True	True	0.0988959829741952	0.0002248538450007	1074	953	288	283	1.0	1.0	False	False	0.8873370577281192	0.9826388888888888
EOG09260HS3	True	True	0.2059026182820395	0.0176699610661874	1244	954	373	364	1.0	1.0	False	False	0.7668810289389068	0.9758713136729222
EOG09260HSP	True	True	0.0639980824544582	0.0059808612440191	894	836	237	236	1.0	1.0	False	False	0.9351230425055929	0.9957805907172996
EOG09260IU8	True	True	0.4862080315997367	0.0087124878993223	2170	1033	536	530	1.0	1.0	False	False	0.47603686635944703	0.9888059701492538
EOG09260J53	True	True	0.0696449804654323	0.0024181547619047	841	768	229	221	1.0	1.0	False	False	0.9131985731272295	0.9650655021834061
EOG09260J8F	True	True	0.0638805021452407	0.0067778936392075	899	822	370	349	1.0	1.0	False	False	0.914349276974416	0.9432432432432433
EOG09260J97	True	True	0.4177109440267335	0.0005114217524718	1539	838	384	378	1.0	1.0	False	False	0.5445094217024041	0.984375
EOG09260JDM	True	True	0.4002279635258358	0.0821569734613212	1880	759	758	402	1.0	1.0	False	False	0.40372340425531916	0.5303430079155673
EOG09260JED	True	True	0.0356004250797024	0.0040163805323673	941	907	204	203	1.0	1.0	False	False	0.9638682252922423	0.9950980392156863
EOG09260JJW	True	True	0.1516909814323607	0.0088026407922376	928	769	410	402	0.9285714285714286	0.9285714285714286	False	False	0.8286637931034483	0.9804878048780488
EOG09260JNY	True	True	0.4850294911526542	0.0424196309682328	2858	751	1117	527	1.0	1.0	False	False	0.2627711686494052	0.4717994628469114
EOG09260JO5	True	True	0.2181305536568694	0.0631888317413666	1672	1361	692	691	1.0	1.0	False	False	0.8139952153110048	0.9985549132947977
EOG09260JPV	True	True	0.0933677972512923	0.0152259332023575	1133	1018	587	577	1.0	1.0	False	False	0.8984995586937334	0.9829642248722317
EOG09260JT9	True	True	0.0411084473275983	0.0089469052508066	1013	974	213	210	1.0	1.0	False	False	0.9615004935834156	0.9859154929577465
EOG09260JTZ	True	True	0.0242630385487528	0.0002329192546583	945	920	195	195	1.0	1.0	False	False	0.9735449735449735	1.0
EOG09260K24	True	True	0.0092165898617511	0.0013586956521739	744	736	234	233	1.0	1.0	False	False	0.989247311827957	0.9957264957264957
EOG09260K29	True	True	0.4452006154574506	0.002089318359885	1207	547	216	214	1.0	1.0	False	False	0.4531897265948633	0.9907407407407407
EOG09260K4B	True	True	0.1045759684670813	0.0138574660633484	1249	1088	406	382	0.9285714285714286	0.9285714285714286	False	False	0.8710968775020016	0.9408866995073891
EOG09260K4V	True	True	0.1822019587977034	0.0047525859658932	1269	1022	323	321	1.0	1.0	False	False	0.8053585500394012	0.9938080495356038
EOG09260K5F	True	True	0.1351020408163265	0.0034199726402188	875	731	269	264	1.0	1.0	False	False	0.8354285714285714	0.9814126394052045
EOG09260KCB	True	True	0.2685361914549992	0.015631469979296	973	690	382	370	1.0	1.0	False	False	0.7091469681397738	0.9685863874345549
EOG09260KCW	True	True	0.3099363507779349	0.0053480783176214	1212	788	253	235	1.0	1.0	False	False	0.6501650165016502	0.9288537549407114
EOG09260KDB	True	True	0.0400520532099479	0.0113849149876413	1064	1027	378	377	0.9285714285714286	0.9285714285714286	False	False	0.9652255639097744	0.9973544973544973
EOG09260KGS	True	True	0.5192380952380953	0.0198209718670076	3000	782	908	493	1.0	1.0	False	False	0.26066666666666666	0.5429515418502202
EOG09260KIY	True	True	0.1393244873341375	0.0145021645021645	829	660	344	279	1.0	1.0	False	False	0.7961399276236429	0.811046511627907
EOG09260KM4	False	True	0.6224926905555178	0.0043448036148766	2101	411	240	227	1.0	1.0	True	False	0.19562113279390766	0.9458333333333333
EOG09260KNI	True	True	0.1560220601316491	0.007125890736342	511	421	175	171	0.7857142857142857	0.7857142857142857	False	False	0.8238747553816047	0.9771428571428571
EOG09260KNR	True	True	0.1252735229759299	0.0049361207897793	914	738	403	339	1.0	1.0	False	False	0.8074398249452954	0.8411910669975186
EOG09260KUC	True	True	0.1764748619587329	0.0014668133480014	1147	909	294	283	0.8571428571428571	0.8571428571428571	False	False	0.7925021795989537	0.9625850340136054
EOG09260KWP	True	True	0.0971563981042654	0.0197648236177132	1266	1142	461	446	1.0	1.0	False	False	0.9020537124802528	0.9674620390455532
EOG09260LBU	True	True	0.0011045655375552	0.0	776	772	120	119	0.5	0.5	False	False	0.9948453608247423	0.9916666666666667
EOG09260LI6	True	True	0.0579279172118472	0.0115761353517364	1201	1123	397	376	1.0	1.0	False	False	0.9350541215653622	0.947103274559194
EOG09260LJ8	True	True	0.5020831049227058	0.1379676870748299	1303	672	343	332	1.0	1.0	False	False	0.5157329240214888	0.967930029154519
EOG09260LRX	True	True	0.2502281253168407	0.0051070379180075	1409	1021	455	441	1.0	1.0	False	False	0.7246273953158269	0.9692307692307692
EOG09260LS9	True	True	0.3789310878157759	0.0018061408789885	529	302	143	141	0.7857142857142857	0.7857142857142857	False	False	0.5708884688090737	0.986013986013986
EOG09260LVD	True	True	0.4050611267846456	0.0150583412172816	1671	906	556	518	1.0	1.0	False	False	0.5421903052064632	0.9316546762589928
EOG09260M44	True	True	0.3360212590488408	0.01875	1559	960	649	623	1.0	1.0	False	False	0.6157793457344451	0.9599383667180277
EOG09260M87	True	True	0.3676524112829845	0.0045031055900621	1570	920	286	282	1.0	1.0	False	False	0.5859872611464968	0.986013986013986
EOG09260MBW	True	True	0.1767131242740998	0.0041762672811059	1230	992	457	449	1.0	1.0	False	False	0.8065040650406504	0.9824945295404814
EOG09260MRU	True	True	0.1488756613756613	0.0180144745122718	1080	908	288	275	1.0	1.0	False	False	0.8407407407407408	0.9548611111111112
EOG09260N2T	True	True	0.1480552837573385	0.1014558689717925	1168	1099	556	556	1.0	1.0	False	False	0.9409246575342466	1.0
EOG09260N53	True	True	0.1172924297924297	0.007380073800738	936	813	229	220	1.0	1.0	False	False	0.8685897435897436	0.9606986899563319
EOG09260NAN	True	True	0.3570602807597027	0.0348384585441806	1730	734	772	455	1.0	1.0	False	False	0.42427745664739885	0.5893782383419689
EOG09260NC6	True	True	0.1044198895027624	0.0080064771500539	905	794	281	268	1.0	1.0	False	False	0.8773480662983425	0.9537366548042705
EOG09260NE0	True	True	0.236664089679165	0.0191974403412878	796	577	340	319	0.9285714285714286	0.9285714285714286	False	False	0.7248743718592965	0.9382352941176471
EOG09260NHB	True	True	0.5211330569779729	0.0750625521267723	4101	1199	1212	735	0.8571428571428571	0.8571428571428571	False	False	0.29236771519141674	0.6064356435643564
EOG09260NHN	True	True	0.3356148669317834	0.0180918993364216	1868	1141	385	365	1.0	1.0	False	False	0.610813704496788	0.948051948051948
EOG09260NJW	True	True	0.0860660388063088	0.0079013906447534	1259	1130	355	335	1.0	1.0	False	False	0.897537728355838	0.9436619718309859
EOG09260NNR	True	True	0.1191936897458369	0.0533661740558292	1141	1044	399	396	1.0	1.0	False	False	0.9149868536371604	0.9924812030075187
EOG09260NWN	True	True	0.197445600756859	0.1345454545454545	1510	1375	518	517	1.0	1.0	False	False	0.9105960264900662	0.9980694980694981
EOG09260NXC	True	True	0.4598434793764834	0.0109007458405048	2227	996	413	355	1.0	1.0	False	False	0.4472384373596767	0.8595641646489104
EOG09260NXJ	True	True	0.4923128958858618	0.0276795325234507	2323	929	636	416	1.0	1.0	False	False	0.39991390443392166	0.6540880503144654
EOG09260NY2	True	True	0.15	0.0006738544474393	910	742	203	196	1.0	1.0	False	False	0.8153846153846154	0.9655172413793104
EOG09260NZ8	True	True	0.3066221932964529	0.0699404761904761	878	624	287	283	1.0	1.0	False	False	0.7107061503416856	0.9860627177700348
EOG09260OCI	True	True	0.2517614622689676	0.0071791153009427	1399	985	459	446	1.0	1.0	False	False	0.7040743388134382	0.971677559912854
EOG09260OE9	True	True	0.4078526900309078	0.0326031060372313	2727	1389	862	811	1.0	1.0	False	False	0.5093509350935094	0.9408352668213457
EOG09260OLB	True	True	0.3882708821233411	0.0282197286886618	1464	853	454	435	1.0	1.0	False	False	0.5826502732240437	0.9581497797356828
