profile	gene_id	trimming_class	retained_length_fraction	pis_retained_fraction	length_raw	length_trimmed	pis_raw	pis_trimmed
deep_robust	EOG09260779	stable	0.9714484679665738	0.9945872801082544	1436	1395	739	735
deep_robust	EOG092602OP	stable	0.9183082271147162	0.9971550497866288	1726	1585	703	701
deep_robust	EOG092602I6	stable	0.9581019687026754	0.9883381924198252	1981	1898	686	678
deep_robust	EOG09260GF5	stable	0.9342181188690132	0.9843260188087776	1733	1619	638	628
deep_robust	EOG09260EAZ	stable	0.8615600843288826	0.9388489208633094	1423	1226	556	522
diverse_rate	EOG092606O3	sensitive	0.6627953544253103	0.95448798988622	2497	1655	791	755
diverse_rate	EOG092603YJ	stable	0.9429028815368196	0.9821002386634844	1874	1767	838	823
diverse_rate	EOG09260779	stable	0.9714484679665738	0.9945872801082544	1436	1395	739	735
diverse_rate	EOG092609O9	stable	0.8065934065934066	0.985969387755102	2275	1835	784	773
diverse_rate	EOG092604ML	sensitive	0.6178010471204188	0.8484596169858452	2674	1652	1201	1019
diverse_rate	EOG0926049A	stable	0.9367167919799498	0.9666182873730044	1596	1495	689	666
diverse_rate	EOG092602OP	stable	0.9183082271147162	0.9971550497866288	1726	1585	703	701
diverse_rate	EOG09260EOI	sensitive	0.6639414802065404	0.9373464373464372	2324	1543	814	763
diverse_rate	EOG092604A0	sensitive	0.6473149492017417	0.9070904645476772	2756	1784	1227	1113
diverse_rate	EOG092600SK	sensitive	0.6423785594639866	0.9643916913946587	3582	2301	1348	1300
information_only	EOG0926051U	stable	0.9398849973863044	0.9991394148020654	1913	1798	1162	1161
information_only	EOG092604MJ	stable	0.7544419134396355	0.9855072463768116	2195	1656	1104	1088
information_only	EOG0926077L	stable	0.8573106283029948	0.9477386934673366	1703	1460	995	943
information_only	EOG09260274	stable	0.859375	0.961789375582479	1792	1540	1073	1032
information_only	EOG092603JK	sensitive	0.5759856630824373	0.72	2790	1607	1475	1062
information_only	EOG09260EPS	sensitive	0.693368700265252	0.9540983606557376	1885	1307	915	873
information_only	EOG092604A0	sensitive	0.6473149492017417	0.9070904645476772	2756	1784	1227	1113
information_only	EOG092604ML	sensitive	0.6178010471204188	0.8484596169858452	2674	1652	1201	1019
information_only	EOG09260OZU	sensitive	0.3187717632162076	0.5241433021806854	3159	1007	1284	673
information_only	EOG09261DG0	sensitive	0.6870818322182193	0.8827160493827161	1943	1335	972	858
low_bias	EOG092606O3	sensitive	0.6627953544253103	0.95448798988622	2497	1655	791	755
low_bias	EOG092602I6	stable	0.9581019687026754	0.9883381924198252	1981	1898	686	678
low_bias	EOG092603YJ	stable	0.9429028815368196	0.9821002386634844	1874	1767	838	823
low_bias	EOG092609O9	stable	0.8065934065934066	0.985969387755102	2275	1835	784	773
low_bias	EOG0926049A	stable	0.9367167919799498	0.9666182873730044	1596	1495	689	666
low_bias	EOG09260779	stable	0.9714484679665738	0.9945872801082544	1436	1395	739	735
low_bias	EOG092605T6	sensitive	0.7193382772390188	0.9620786516853932	5259	3783	1424	1370
low_bias	EOG09260BSW	stable	0.9404145077720208	0.970108695652174	1158	1089	368	357
low_bias	EOG092602OP	stable	0.9183082271147162	0.9971550497866288	1726	1585	703	701
low_bias	EOG09260GF5	stable	0.9342181188690132	0.9843260188087776	1733	1619	638	628
occupancy_only	EOG092647L7	stable	0.822429906542056	0.9565217391304348	321	264	23	22
occupancy_only	EOG09264PMA	sensitive	0.6267029972752044	0.875	367	230	168	147
occupancy_only	EOG09264SSI	stable	0.8685258964143426	0.9882352941176472	251	218	85	84
occupancy_only	EOG0926420U	stable	0.8894348894348895	0.9875	407	362	160	158
occupancy_only	EOG09265H9T	sensitive	0.7222222222222222	1.0	144	104	16	16
occupancy_only	EOG0926514P	stable	0.9271523178807948	1.0	151	140	10	10
occupancy_only	EOG09264ZXA	stable	0.7766323024054983	0.9411764705882352	291	226	85	80
occupancy_only	EOG09265G9U	sensitive	0.5980861244019139	1.0	209	125	22	22
occupancy_only	EOG09265MAN	sensitive	0.6541095890410958	0.8679245283018868	292	191	106	92
occupancy_only	EOG092642UD	stable	0.8516949152542372	0.944186046511628	472	402	215	203
random_matched	EOG09260Z3X	stable	0.9657631954350928	0.962566844919786	701	677	187	180
random_matched	EOG09261IBJ	stable	0.9544392523364486	0.9861111111111112	856	817	360	355
random_matched	EOG09262E7W	sensitive	0.7179125528913963	0.9233716475095786	709	509	261	241
random_matched	EOG09262H50	stable	0.7706708268330733	0.9029850746268656	641	494	268	242
random_matched	EOG09262NNS	stable	0.9085714285714286	0.9542857142857144	525	477	175	167
random_matched	EOG09263JTO	stable	0.762962962962963	1.0	405	309	71	71
random_matched	EOG09263LP3	stable	0.7866004962779156	1.0	403	317	101	101
random_matched	EOG092641M3	stable	0.9583333333333334	1.0	288	276	46	46
random_matched	EOG09264E6Z	extreme	0.1402116402116402	0.9423076923076924	1890	265	156	147
random_matched	EOG09264RR2	sensitive	0.7116104868913857	1.0	267	190	13	13
