gene_id	same_taxon_ids	n_taxa_raw	n_taxa_trimmed	length_raw	length_trimmed	retained_length_fraction	variable_raw	variable_trimmed	pis_raw	pis_trimmed	pis_difference	pis_retained_fraction	entropy_raw	entropy_trimmed
EOG092605FC	True	14	14	1651	1355	0.8207147183525136	796	714	481	451	-30	0.9376299376299376	0.5063492113309797	0.5351487871752264
EOG092605KN	True	14	14	1711	1264	0.7387492694330801	741	718	388	388	0	1.0	0.49503100677469997	0.6512301774160216
EOG092605OK	True	14	14	3828	1681	0.4391327063740857	1400	1313	718	689	-29	0.9596100278551533	0.39540005120017063	0.8326475197508579
EOG092605QM	True	14	14	2255	1804	0.8	1641	1475	1166	1084	-82	0.9296740994854202	1.0375919542786673	1.1592991000804311
EOG092605T6	True	14	14	5259	3783	0.7193382772390188	2721	2079	1424	1370	-54	0.9620786516853933	0.5442272277187025	0.5655877871893785
EOG092605VL	True	14	14	2797	2284	0.816589202717197	2094	1791	1391	1273	-118	0.9151689432063264	0.9809424181184798	1.0264448649275897
EOG092605VU	True	14	14	1829	1202	0.6571897211591033	1245	910	664	595	-69	0.8960843373493976	0.8838252249510928	0.9587121723604825
EOG092605ZA	True	14	14	2071	1153	0.5567358763882182	1540	985	1051	743	-308	0.7069457659372027	1.1300114072164968	1.2122502537567175
EOG092606AD	True	14	14	750	400	0.5333333333333333	455	326	287	258	-29	0.8989547038327527	0.906203257487667	1.2624635291794057
EOG092606AJ	True	14	14	1605	1135	0.7071651090342679	705	668	459	438	-21	0.954248366013072	0.4888812008804972	0.6503461396776549
EOG092606CY	True	14	14	1741	1259	0.723147616312464	781	726	449	445	-4	0.9910913140311804	0.45293698618240724	0.572298868174671
EOG092606O3	True	14	14	2497	1655	0.6627953544253103	1185	1067	791	755	-36	0.95448798988622	0.574474529362333	0.7776820693072575
EOG092606UX	True	14	14	1716	1349	0.7861305361305362	1016	988	720	711	-9	0.9875	0.7069566183305734	0.8741924581203628
EOG092606WZ	True	14	14	1733	1298	0.7489901904212348	1106	1026	766	755	-11	0.9856396866840731	0.8660477211590075	1.0724482609454467
EOG0926071Q	True	14	14	1776	1131	0.6368243243243243	873	825	640	625	-15	0.9765625	0.6787467053555073	1.0060453523468447
EOG0926073O	True	14	14	2649	1649	0.6224990562476406	1162	940	664	621	-43	0.9352409638554217	0.4755848197461551	0.6132286897364583
EOG0926074Y	True	14	14	1361	1214	0.8919911829537105	446	437	231	230	-1	0.9956709956709957	0.27693622764753917	0.302439962845629
EOG09260779	True	14	14	1436	1395	0.9714484679665738	1032	1019	739	735	-4	0.9945872801082544	0.9074497445489449	0.9185041549145937
EOG0926077L	True	13	13	1703	1460	0.8573106283029948	1385	1252	995	943	-52	0.9477386934673366	1.1929054290737826	1.2645901451541826
EOG0926079Q	True	14	14	1307	1188	0.9089517980107116	570	539	319	308	-11	0.9655172413793104	0.39381358418465096	0.4064095721019463
EOG092607OQ	True	14	14	1221	1209	0.9901719901719902	408	408	203	203	0	1.0	0.2373519068450369	0.2397077570370472
EOG092607QZ	True	14	14	1106	1081	0.9773960216998192	558	547	378	376	-2	0.9947089947089947	0.5445886362560882	0.5432381422407176
EOG092607ZS	True	14	14	2545	1504	0.5909626719056974	1039	950	641	597	-44	0.9313572542901716	0.4475962919525522	0.6782873798861526
EOG092608AE	True	14	14	3020	2139	0.7082781456953643	1866	1660	1220	1127	-93	0.9237704918032786	0.8134072654316853	1.0055614154692405
EOG092608AV	True	14	14	2103	1213	0.5767950546837851	1428	849	564	477	-87	0.8457446808510638	0.768910790606258	0.7330499564002693
EOG092608C4	True	12	12	2112	1336	0.6325757575757576	880	843	553	540	-13	0.976491862567812	0.4940300053330792	0.7452005940139637
EOG092608GK	True	14	14	1873	1460	0.7794981313400962	1219	1007	779	670	-109	0.8600770218228498	0.7641728530526964	0.7987799698104541
EOG092608L0	True	13	13	2227	1252	0.5621912887292322	786	522	294	278	-16	0.9455782312925171	0.33836060601972573	0.3853267026899582
EOG092608RH	True	14	14	1847	1122	0.607471575527883	909	869	676	673	-3	0.9955621301775148	0.6707882837445892	1.0651302090407613
EOG092608T8	True	14	14	1256	1227	0.9769108280254777	330	323	169	165	-4	0.9763313609467456	0.21282499432488228	0.2117519775197856
EOG092608WI	True	14	14	1351	1132	0.8378978534418949	817	667	576	478	-98	0.8298611111111112	0.8349837150709323	0.7682828135051833
EOG092608WU	True	14	14	1593	1364	0.8562460765850597	819	739	459	450	-9	0.9803921568627451	0.5131119609231908	0.5285885708173638
EOG092608ZS	True	12	12	1295	1149	0.8872586872586873	683	621	463	429	-34	0.9265658747300216	0.6711838909851594	0.6699755855863381
EOG0926092K	True	13	13	3233	1079	0.33374574698422516	1145	527	280	280	0	1.0	0.3512772632976292	0.4324287459064511
EOG09260931	True	14	14	1862	997	0.5354457572502686	812	712	462	459	-3	0.9935064935064936	0.4591749847529019	0.7528305592297302
EOG092609JB	True	14	14	2493	1011	0.4055354993983153	1578	753	679	595	-84	0.8762886597938144	0.8441899931311235	1.1501543765408841
EOG092609O9	True	14	14	2275	1835	0.8065934065934066	1190	1141	784	773	-11	0.985969387755102	0.6178497202260214	0.7339240342136627
EOG092609RF	True	14	14	1668	1430	0.8573141486810552	963	901	645	636	-9	0.986046511627907	0.7189050732924886	0.7845197296156319
EOG092609YT	True	14	14	2194	1108	0.5050136736554239	1185	631	552	445	-107	0.8061594202898551	0.7087185073188629	0.689741969206537
EOG09260A27	True	14	14	2032	1013	0.4985236220472441	862	699	534	485	-49	0.9082397003745318	0.5381754928265153	0.8674912705833295
EOG09260A6Q	True	14	14	1833	1308	0.7135842880523732	952	880	575	568	-7	0.9878260869565217	0.6141770195607724	0.7992473489031251
EOG09260A98	True	14	14	1360	1216	0.8941176470588236	878	809	607	570	-37	0.9390444810543658	0.7990491391998746	0.8157644587827986
EOG09260ABY	True	14	14	2215	1070	0.48306997742663654	399	367	195	192	-3	0.9846153846153847	0.1509463362711368	0.28478668663641515
EOG09260AEC	True	14	14	750	713	0.9506666666666667	400	383	232	228	-4	0.9827586206896551	0.5604492032090166	0.557660351599065
EOG09260APA	True	14	14	1482	924	0.6234817813765182	1153	791	850	586	-264	0.6894117647058824	1.2638800644428974	1.2517759880526178
EOG09260AQB	True	14	14	1507	985	0.6536164565361645	474	458	258	253	-5	0.9806201550387597	0.29062457230818817	0.42550086330666875
EOG09260AZA	True	14	14	1070	1043	0.974766355140187	366	350	226	217	-9	0.9601769911504425	0.3383030706666028	0.3277502386682556
EOG09260AZK	True	14	14	2162	934	0.4320074005550416	624	496	298	240	-58	0.8053691275167785	0.2699620238390208	0.47773698491716604
EOG09260AZM	True	13	13	2486	1320	0.5309734513274337	787	763	544	536	-8	0.9852941176470589	0.4024985165911774	0.7326721060903306
EOG09260B3H	True	14	14	1504	1274	0.8470744680851063	872	799	587	561	-26	0.9557069846678024	0.7975698645846881	0.8574533812592341
EOG09260B3X	True	10	10	1013	956	0.9437314906219151	593	563	424	419	-5	0.9882075471698113	0.7021595374462531	0.7053501446339606
EOG09260B65	True	14	14	1150	1031	0.8965217391304348	764	749	527	521	-6	0.9886148007590133	0.755175093117174	0.8249229371547725
EOG09260BFE	True	14	14	1595	734	0.46018808777429465	951	636	479	444	-35	0.9269311064718163	0.7665412010691938	1.1648262358399815
EOG09260BL6	True	14	14	2163	1076	0.497457235321313	1171	790	617	562	-55	0.9108589951377634	0.6871275418152827	0.9858803278322904
EOG09260BRA	True	14	14	1388	999	0.7197406340057637	619	532	367	349	-18	0.9509536784741145	0.47433904440065827	0.5641534853391882
EOG09260BSW	True	14	14	1158	1089	0.9404145077720207	616	599	368	357	-11	0.970108695652174	0.5606901645384966	0.5754508841684972
EOG09260BYL	True	14	14	1206	1003	0.8316749585406302	766	662	525	499	-26	0.9504761904761905	0.8665999597099533	0.9103941558439161
EOG09260BZ0	True	14	14	1880	1215	0.6462765957446809	789	733	448	431	-17	0.9620535714285714	0.4376907685597704	0.6192121519065179
EOG09260C2V	True	14	14	866	762	0.8799076212471132	589	570	386	378	-8	0.9792746113989638	0.7849761381917413	0.8595649149769773
EOG09260C5W	True	14	14	2590	2016	0.7783783783783784	1750	1434	1030	1004	-26	0.974757281553398	0.7753484806788566	0.8238621447172207
EOG09260CKC	True	14	14	1315	1227	0.9330798479087452	696	674	419	416	-3	0.9928400954653938	0.5676004978996251	0.5903435202726146
EOG09260CMZ	True	14	14	2502	738	0.2949640287769784	1203	626	700	389	-311	0.5557142857142857	0.6571539112042263	1.0449196890889874
EOG09260DBG	True	14	14	1691	1067	0.6309875813128326	543	538	353	352	-1	0.9971671388101983	0.3566830015776675	0.5592973323167558
EOG09260DFH	True	14	14	1165	1047	0.8987124463519314	782	761	609	598	-11	0.9819376026272578	0.8895298442668468	0.9590921157335095
EOG09260DFJ	True	14	14	1903	1656	0.8702049395691014	1453	1279	1103	1022	-81	0.9265639165911151	1.1796208894468274	1.1982074769903543
EOG09260DP1	True	14	14	1495	1198	0.8013377926421404	723	678	516	490	-26	0.9496124031007752	0.5905803069764619	0.682555377023459
EOG09260DUR	True	14	14	1089	943	0.8659320477502296	471	442	298	297	-1	0.9966442953020134	0.4790940402689561	0.52017728867996
EOG09260DUW	True	14	14	1925	1027	0.5335064935064935	894	852	624	614	-10	0.9839743589743589	0.5823436826134555	1.0391412374122735
EOG09260DXP	True	14	14	1392	1143	0.8211206896551724	525	483	318	297	-21	0.9339622641509434	0.3965185018837048	0.43463680111040925
EOG09260E2O	True	12	12	949	894	0.9420442571127503	505	496	254	253	-1	0.9960629921259843	0.5189259679511902	0.5378096713519847
EOG09260E8K	True	13	13	1153	1071	0.9288811795316565	343	303	197	186	-11	0.9441624365482234	0.28931754475885896	0.2652577052015699
EOG09260EAZ	True	14	14	1423	1226	0.8615600843288826	893	820	556	522	-34	0.9388489208633094	0.6728925280391902	0.6996970444977458
EOG09260EE7	True	13	13	1304	979	0.7507668711656442	609	566	351	348	-3	0.9914529914529915	0.4875170219839042	0.5988289078169098
EOG09260EOI	True	14	14	2324	1543	0.6639414802065404	1487	1091	814	763	-51	0.9373464373464373	0.8226122579193043	0.9047915903173052
EOG09260EPQ	True	14	14	1480	915	0.6182432432432432	518	397	221	214	-7	0.9683257918552036	0.33501608917630993	0.3706895489402624
EOG09260EPS	True	14	14	1885	1307	0.693368700265252	1382	1192	915	873	-42	0.9540983606557377	1.0590787865294127	1.3425826940645011
EOG09260EQD	True	14	14	1511	1210	0.800794176042356	1017	840	614	571	-43	0.9299674267100977	0.8097644584393441	0.8228530746403586
EOG09260ERO	True	14	14	1190	1026	0.8621848739495799	517	426	266	264	-2	0.9924812030075187	0.42620098831802317	0.3917623797323083
EOG09260ETR	True	14	14	1172	1070	0.9129692832764505	549	519	269	266	-3	0.9888475836431226	0.44292477058826984	0.4513799802693982
EOG09260EZT	True	14	14	1560	928	0.5948717948717949	820	542	421	362	-59	0.8598574821852731	0.5951663191094885	0.6591387623232218
EOG09260FFP	True	14	14	1724	704	0.40835266821345706	945	501	433	383	-50	0.8845265588914549	0.6923902502640396	0.9810085059895013
EOG09260FKU	True	14	14	1015	847	0.8344827586206897	701	669	437	426	-11	0.9748283752860412	0.8980304268299056	1.0266407810381122
EOG09260FL2	True	14	14	841	828	0.9845422116527943	471	468	257	255	-2	0.9922178988326849	0.4908127945785639	0.49525827053610705
EOG09260FMW	True	14	14	1885	1495	0.7931034482758621	1043	908	721	670	-51	0.9292649098474342	0.7201418352653163	0.7932132188417462
EOG09260FPA	True	14	14	1416	1316	0.9293785310734464	908	876	617	612	-5	0.9918962722852512	0.7832526219815842	0.8138697699089765
EOG09260FX0	True	12	12	1307	1082	0.827850038255547	918	854	625	594	-31	0.9504	0.9565545364323746	1.0647296732578677
EOG09260FZZ	True	14	14	2445	960	0.39263803680981596	1179	561	317	286	-31	0.9022082018927445	0.4878471875873926	0.5325527639427662
EOG09260GF5	True	14	14	1733	1619	0.9342181188690133	1008	954	638	628	-10	0.9843260188087775	0.6644722161746884	0.6723426114286409
EOG09260GIX	True	14	14	1235	1088	0.8809716599190284	908	830	580	547	-33	0.9431034482758621	0.9339201952398476	0.9575344354492605
EOG09260GKG	True	14	14	963	957	0.9937694704049844	267	265	145	144	-1	0.993103448275862	0.21751389377619518	0.21684083197601545
EOG09260GOF	True	14	14	1244	599	0.4815112540192926	509	371	220	218	-2	0.990909090909091	0.4304485784930111	0.6519545634202979
EOG09260GR8	True	14	14	1298	859	0.6617873651771957	705	556	419	396	-23	0.9451073985680191	0.6116354511266839	0.7180578854006121
EOG09260H6E	True	14	14	849	642	0.7561837455830389	409	388	233	233	0	1.0	0.5284537533493311	0.6642023171818404
EOG09260H81	True	14	14	1514	1185	0.7826948480845443	898	805	554	547	-7	0.9873646209386282	0.7752664063541458	0.890754174861879
EOG09260HMA	True	14	14	1829	870	0.4756697648988518	543	452	261	260	-1	0.9961685823754789	0.2685466546693869	0.46502021265067006
EOG09260HPO	True	14	14	1075	953	0.8865116279069768	460	430	288	283	-5	0.9826388888888888	0.44123281869117326	0.46398116376450943
EOG09260HS3	True	14	14	1233	954	0.7737226277372263	736	581	372	364	-8	0.978494623655914	0.677106044904747	0.6591695229367129
EOG09260HSP	True	14	14	894	836	0.9351230425055929	431	424	237	236	-1	0.9957805907172996	0.4851084874230051	0.5074524188494668
EOG09260IU8	True	14	14	2170	1033	0.47603686635944703	822	789	536	530	-6	0.9888059701492538	0.4401015073796649	0.8867591159437215
EOG09260J53	True	14	14	841	768	0.9131985731272295	342	322	229	221	-8	0.9650655021834061	0.4268950218513396	0.4362851467507422
EOG09260J8F	True	14	14	899	822	0.914349276974416	521	476	370	349	-21	0.9432432432432433	0.6963767893627064	0.6877792128912017
EOG09260J97	True	14	14	1539	838	0.5445094217024041	586	561	384	378	-6	0.984375	0.43714386376183	0.768604036501847
EOG09260JDM	True	14	14	1880	759	0.40372340425531916	1362	557	758	402	-356	0.5303430079155673	1.1043343481780268	1.0099109733746698
EOG09260JED	True	14	14	941	907	0.9638682252922423	362	358	204	203	-1	0.9950980392156863	0.32908771196915104	0.33735277611828146
EOG09260JJW	True	13	13	928	769	0.8286637931034483	602	542	410	402	-8	0.9804878048780488	0.8966913727980814	0.9868551548256317
EOG09260JNY	True	14	14	2871	751	0.2615813305468478	1984	648	1126	527	-599	0.46802841918294846	1.0965769231681446	1.3299616396820177
EOG09260JO5	True	14	14	1671	1361	0.8144823459006583	1038	992	693	691	-2	0.9971139971139971	0.8283486826551947	0.980755472132727
EOG09260JPV	True	14	14	1133	1018	0.8984995586937334	799	755	585	577	-8	0.9863247863247864	0.916645808460554	0.9684973029850186
EOG09260JT9	True	14	14	1013	974	0.9615004935834156	423	413	213	210	-3	0.9859154929577465	0.36780263676973746	0.3705761525189214
EOG09260JTZ	True	14	14	945	920	0.9735449735449735	318	317	195	195	0	1.0	0.28251581098138506	0.2894863249519136
EOG09260K24	True	14	14	744	736	0.989247311827957	386	382	234	233	-1	0.9957264957264957	0.46388072013082854	0.462878278599338
EOG09260K29	True	14	14	1207	547	0.4531897265948633	508	343	216	214	-2	0.9907407407407407	0.4338344169139097	0.6462193892630597
EOG09260K4B	True	13	13	1246	1088	0.8731942215088283	668	585	409	382	-27	0.9339853300733496	0.6326166207673302	0.6252496215513053
EOG09260K4V	True	14	14	1269	1022	0.8053585500394012	576	568	323	321	-2	0.9938080495356038	0.41855499924778483	0.511208423038394
EOG09260K5F	True	14	14	875	731	0.8354285714285714	499	458	269	264	-5	0.9814126394052045	0.547990214316803	0.6015652737068613
EOG09260KCB	True	14	14	973	690	0.7091469681397738	536	503	383	370	-13	0.9660574412532638	0.6714862804892567	0.8844946403141862
EOG09260KCW	True	14	14	1212	788	0.6501650165016502	425	373	253	235	-18	0.9288537549407114	0.37964264778021317	0.4936102958689944
EOG09260KDB	True	13	13	1064	1027	0.9652255639097744	567	553	378	377	-1	0.9973544973544973	0.6483188251418056	0.653914172807154
EOG09260KGS	True	14	14	3000	782	0.26066666666666666	1687	672	908	493	-415	0.5429515418502202	0.7225503964207876	1.1176584668923728
EOG09260KIY	True	14	14	829	660	0.7961399276236429	569	456	343	279	-64	0.8134110787172012	0.8441528449915744	0.779543471285775
EOG09260KM4	True	14	14	2101	411	0.19562113279390766	656	311	239	227	-12	0.9497907949790795	0.36405935076487095	1.0842487272097512
EOG09260KNI	True	11	11	511	421	0.8238747553816047	278	266	176	171	-5	0.9715909090909091	0.5991943996639155	0.6911318092079812
EOG09260KNR	True	14	14	913	738	0.8083242059145673	565	463	401	339	-62	0.8453865336658354	0.8645855261042407	0.835136652234142
EOG09260KUC	True	12	12	1147	909	0.7925021795989537	501	464	296	283	-13	0.956081081081081	0.47338993681476027	0.5477681460315574
EOG09260KWP	True	14	14	1266	1142	0.9020537124802528	681	644	460	446	-14	0.9695652173913043	0.6573755823157796	0.6886962902830756
EOG09260LBU	True	7	7	776	772	0.9948453608247423	200	199	120	119	-1	0.9916666666666667	0.2389835716104618	0.23892649167061963
EOG09260LI6	True	14	14	1201	1123	0.9350541215653622	652	613	397	376	-21	0.947103274559194	0.612835565431442	0.6036500398135384
EOG09260LJ8	True	14	14	1302	672	0.5161290322580645	624	511	341	332	-9	0.9736070381231672	0.6845027365365501	1.1173478685575948
EOG09260LRX	True	14	14	1409	1021	0.7246273953158269	707	674	454	441	-13	0.9713656387665198	0.5836576320149872	0.7592905555083632
EOG09260LS9	True	11	11	529	302	0.5708884688090737	208	192	143	141	-2	0.986013986013986	0.5373536836418216	0.8634193944313281
EOG09260LVD	True	14	14	1671	906	0.5421903052064632	886	669	556	518	-38	0.9316546762589928	0.7791390685618766	1.1469160754586327
EOG09260M44	True	14	14	1557	960	0.6165703275529865	1093	849	647	623	-24	0.9629057187017002	0.9800770715711874	1.2701031706814903
EOG09260M87	True	14	14	1570	920	0.5859872611464968	597	441	286	282	-4	0.986013986013986	0.3936247251321204	0.4984752700665835
EOG09260MBW	True	14	14	1230	992	0.8065040650406504	676	655	457	449	-8	0.9824945295404814	0.6443397980353036	0.7733904252122538
EOG09260MRU	True	14	14	1080	908	0.8407407407407408	503	472	288	275	-13	0.9548611111111112	0.47644265850466005	0.5278853763984873
EOG09260N2T	True	14	14	1168	1099	0.9409246575342466	834	826	556	556	0	1.0	0.9885286575443776	1.0437595059212976
EOG09260N53	True	14	14	936	813	0.8685897435897436	424	400	229	220	-9	0.9606986899563319	0.4459068769425709	0.474925669991369
EOG09260NAN	True	14	14	1730	734	0.42427745664739885	1267	637	772	455	-317	0.5893782383419689	1.0532183105896955	1.1443867698328778
EOG09260NC6	True	14	14	905	794	0.8773480662983425	451	420	281	268	-13	0.9537366548042705	0.5097745192721529	0.5213454418156829
EOG09260NE0	True	13	13	796	577	0.7248743718592965	542	469	340	319	-21	0.9382352941176471	0.9066055209195444	1.0867638586896864
EOG09260NHB	True	12	12	4101	1199	0.29236771519141674	2072	1010	1212	735	-477	0.6064356435643564	0.7299329856778335	1.184337626044928
EOG09260NHN	True	14	14	1868	1141	0.610813704496788	681	569	387	365	-22	0.9431524547803618	0.4139174824530797	0.567312300381302
EOG09260NJW	True	14	14	1259	1130	0.897537728355838	609	550	352	335	-17	0.9517045454545454	0.5138089455137312	0.5054040379709931
EOG09260NNR	True	14	14	1149	1044	0.9086161879895561	591	550	396	396	0	1.0	0.7364474498000705	0.7668700481352282
EOG09260NWN	True	14	14	1510	1375	0.9105960264900662	856	812	518	517	-1	0.9980694980694981	0.6456172436081207	0.6750467669115566
EOG09260NXC	True	14	14	2227	996	0.4472384373596767	876	616	412	355	-57	0.8616504854368932	0.3966437935528565	0.6071529724745719
EOG09260NXJ	True	14	14	2322	929	0.4000861326442722	1146	683	638	416	-222	0.6520376175548589	0.5650075320287445	0.8576891204319823
EOG09260NY2	True	14	14	910	742	0.8153846153846154	480	383	203	196	-7	0.9655172413793104	0.49833892001750985	0.46614979700350073
EOG09260NZ8	True	14	14	878	624	0.7107061503416856	470	398	287	283	-4	0.9860627177700348	0.6483150303602413	0.7910947209605154
EOG09260OCI	True	14	14	1399	985	0.7040743388134382	767	662	459	446	-13	0.971677559912854	0.6492394301897549	0.7814639537990573
EOG09260OE9	True	14	14	2712	1389	0.5121681415929203	1623	1081	863	811	-52	0.9397450753186558	0.7803896290251012	1.1125931742369901
EOG09260OLB	True	14	14	1461	853	0.5838466803559206	691	613	451	435	-16	0.9645232815964523	0.5923840871713469	0.9062908987784304
EOG09260OM6	True	13	13	819	753	0.9194139194139194	249	239	142	142	0	1.0	0.28668856821534155	0.29925184172942526
EOG09260OQ8	True	13	13	1401	959	0.6845110635260528	716	653	413	413	0	1.0	0.5585024145763379	0.7499840890416276
EOG09260OZU	True	13	13	3159	1007	0.31877176321620765	2166	879	1284	673	-611	0.5241433021806854	1.097933736171975	1.3605487850575073
EOG09260P2K	True	14	14	1307	1170	0.8951798010711554	910	873	569	558	-11	0.9806678383128296	0.8330399563517968	0.8956156566795397
EOG09260P5R	True	14	14	1773	1386	0.7817258883248731	1212	1036	759	707	-52	0.9314888010540184	0.8538256511698693	0.9321295673465839
EOG09260PI1	True	14	14	1133	813	0.7175639894086496	678	505	343	313	-30	0.9125364431486881	0.7037501765354123	0.6863490389534973
EOG09260PJ9	True	14	14	2362	885	0.3746824724809483	1565	669	904	474	-430	0.5243362831858407	1.014042075060977	1.020446941767452
EOG09260QNB	True	14	14	797	752	0.9435382685069009	449	443	287	286	-1	0.9965156794425087	0.6003201639790064	0.625885537583456
EOG09260QVP	True	13	13	2493	980	0.39310068190934616	1051	769	572	566	-6	0.9895104895104895	0.5174491669459449	1.0240188074376009
EOG09260R84	True	14	14	1588	1109	0.6983627204030227	976	868	672	644	-28	0.9583333333333334	0.7764586391302077	0.9888894114572332
EOG09260R9L	True	14	14	1389	985	0.709143268538517	453	413	245	240	-5	0.9795918367346939	0.3012190874864539	0.38158058465184747
